"clave","titulo","tipo","doi","url","pdf_local","estado"
"wang2022e5","Text Embeddings by Weakly-Supervised Contrastive Pre-training","article","10.48550/arXiv.2212.03533","https://arxiv.org/abs/2212.03533","referencias_y_descargas/wang2022e5__wang_2022_text-embeddings-e5.pdf","pdf_oa_validado"
"wang2024e5","Multilingual E5 Text Embeddings: A Technical Report","article","10.48550/arXiv.2402.05672","https://arxiv.org/abs/2402.05672","referencias_y_descargas/wang2024e5__wang_2024_multilingual-e5.pdf","pdf_oa_validado"
"waseem2017abuse","Understanding Abuse: A Typology of Abusive Language Detection Subtasks","inproceedings","10.18653/v1/W17-3012","https://aclanthology.org/W17-3012/","referencias_y_descargas/waseem2017abuse__waseem_2017_understanding-abuse.pdf","pdf_oa_validado"
"wilkinson2016fair","The FAIR Guiding Principles for Scientific Data Management and Stewardship","article","10.1038/sdata.2016.18","https://www.nature.com/articles/sdata201618","referencias_y_descargas/wilkinson2016fair__wilkinson_2016_fair-principles.pdf","pdf_oa_validado"
"wilson1927probable","Probable Inference, the Law of Succession, and Statistical Inference","article","10.1080/01621459.1927.10502953","https://doi.org/10.1080/01621459.1927.10502953","","fuente_editorial_sin_pdf_oa_localizado"
"wolf2020transformers","Transformers: State-of-the-Art Natural Language Processing","inproceedings","10.18653/v1/2020.emnlp-demos.6","https://aclanthology.org/2020.emnlp-demos.6/","referencias_y_descargas/wolf2020transformers__wolf_2020_transformers-library.pdf","pdf_oa_validado"
"wulczyn2017exmachina","Ex Machina: Personal Attacks Seen at Scale","inproceedings","10.1145/3038912.3052591","https://doi.org/10.1145/3038912.3052591","referencias_y_descargas/wulczyn2017exmachina__wulczyn_2017_ex-machina.pdf","pdf_oa_validado"
"youtube2023terms","Terms of Service","misc","","https://www.youtube.com/t/terms","","terminos_servicio_web_oficial_sin_pdf"
"youtube2026sexualpolicy","Política sobre desnudos y contenido sexual","misc","","https://support.google.com/youtube/answer/2802002?hl=es-419","","politica_plataforma_web_oficial_sin_pdf"
"ytdlp2026","yt-dlp: A Feature-Rich Command-Line Audio/Video Downloader","misc","","https://github.com/yt-dlp/yt-dlp","","repositorio_software_web_sin_pdf"
"zavala2007discurso","“Yo te segrego a ti porque tu falta de educación me ofende”: una aproximación al discurso racista en el Perú contemporáneo","incollection","","","","fuente_impresa_sin_pdf_oa_localizado"
"zavala2017racismo","Racismo y lenguaje","book","","https://repositorio.pucp.edu.pe/items/d945348c-e161-4127-a459-8c77cfb51645","","repositorio_oficial_solo_epub_embargado"
"zeinert2021misogyny","Annotating Online Misogyny","inproceedings","10.18653/v1/2021.acl-long.247","https://aclanthology.org/2021.acl-long.247/","referencias_y_descargas/zeinert2021misogyny__zeinert_2021_annotating-online-misogyny.pdf","pdf_oa_validado"
"zhang2014multilabel","A Review on Multi-Label Learning Algorithms","article","10.1109/TKDE.2013.39","https://doi.org/10.1109/TKDE.2013.39","referencias_y_descargas/zhang2014multilabel__zhang_2014_multilabel-learning-review.pdf","pdf_oa_validado"
"zhou2020hiagm","Hierarchy-Aware Global Model for Hierarchical Text Classification","inproceedings","10.18653/v1/2020.acl-main.104","https://aclanthology.org/2020.acl-main.104/","referencias_y_descargas/zhou2020hiagm__zhou_2020_hiagm.pdf","pdf_oa_validado"
